,Exp Category,State,Year,Value
0,Aggregate_Expenditure,Andhra Pradesh ,1980-81,1610.0
1,Aggregate_Expenditure,Andhra Pradesh ,1981-82,1831.0
2,Aggregate_Expenditure,Andhra Pradesh ,1982-83,1933.0
3,Aggregate_Expenditure,Andhra Pradesh ,1983-84,2588.0
4,Aggregate_Expenditure,Andhra Pradesh ,1984-85,3119.0
5,Aggregate_Expenditure,Andhra Pradesh ,1985-86,3413.0
6,Aggregate_Expenditure,Andhra Pradesh ,1986-87,4068.0
7,Aggregate_Expenditure,Andhra Pradesh ,1987-88,4294.0
8,Aggregate_Expenditure,Andhra Pradesh ,1988-89,5223.0
9,Aggregate_Expenditure,Andhra Pradesh ,1989-90,5768.0
10,Aggregate_Expenditure,Andhra Pradesh ,1990-91,6581.0
11,Aggregate_Expenditure,Andhra Pradesh ,1991-92,7758.0
12,Aggregate_Expenditure,Andhra Pradesh ,1992-93,8984.0
13,Aggregate_Expenditure,Andhra Pradesh ,1993-94,10541.0
14,Aggregate_Expenditure,Andhra Pradesh ,1994-95,12459.0
15,Aggregate_Expenditure,Andhra Pradesh ,1995-96,14301.0
16,Aggregate_Expenditure,Andhra Pradesh ,1996-97,16265.0
17,Aggregate_Expenditure,Andhra Pradesh ,1997-98,17745.0
18,Aggregate_Expenditure,Andhra Pradesh ,1998-99,21958.0
19,Aggregate_Expenditure,Andhra Pradesh ,1999-00,22767.0
20,Aggregate_Expenditure,Andhra Pradesh ,2000-01,28119.0
21,Aggregate_Expenditure,Andhra Pradesh ,2001-02,31074.0
22,Aggregate_Expenditure,Andhra Pradesh ,2002-03,34373.0
23,Aggregate_Expenditure,Andhra Pradesh ,2003-04,40120.0
24,Aggregate_Expenditure,Andhra Pradesh ,2004-05,47153.0
25,Aggregate_Expenditure,Andhra Pradesh ,2005-06,48306.0
26,Aggregate_Expenditure,Andhra Pradesh ,2006-07,56648.0
27,Aggregate_Expenditure,Andhra Pradesh ,2007-08,74875.0
28,Aggregate_Expenditure,Andhra Pradesh ,2008-09,80803.89
29,Aggregate_Expenditure,Andhra Pradesh ,2009-10,85074.79
30,Aggregate_Expenditure,Andhra Pradesh ,2010-11,100635.64
31,Aggregate_Expenditure,Andhra Pradesh ,2011-12,115881.55
32,Aggregate_Expenditure,Andhra Pradesh ,2012-13,129440.92
33,Aggregate_Expenditure,Andhra Pradesh ,2013-14,136629.27
34,Aggregate_Expenditure,Andhra Pradesh ,2014-15,111067.46
35,Aggregate_Expenditure,Andhra Pradesh ,2015-16,112048.99
36,Aggregate_Expenditure,Arunachal Pradesh,1980-81,0.0
37,Aggregate_Expenditure,Arunachal Pradesh,1981-82,0.0
38,Aggregate_Expenditure,Arunachal Pradesh,1982-83,0.0
39,Aggregate_Expenditure,Arunachal Pradesh,1983-84,0.0
40,Aggregate_Expenditure,Arunachal Pradesh,1984-85,0.0
41,Aggregate_Expenditure,Arunachal Pradesh,1985-86,0.0
42,Aggregate_Expenditure,Arunachal Pradesh,1986-87,251.0
43,Aggregate_Expenditure,Arunachal Pradesh,1987-88,348.0
44,Aggregate_Expenditure,Arunachal Pradesh,1988-89,326.0
45,Aggregate_Expenditure,Arunachal Pradesh,1989-90,392.0
46,Aggregate_Expenditure,Arunachal Pradesh,1990-91,398.0
47,Aggregate_Expenditure,Arunachal Pradesh,1991-92,443.0
48,Aggregate_Expenditure,Arunachal Pradesh,1992-93,503.0
49,Aggregate_Expenditure,Arunachal Pradesh,1993-94,575.0
50,Aggregate_Expenditure,Arunachal Pradesh,1994-95,691.0
51,Aggregate_Expenditure,Arunachal Pradesh,1995-96,803.0
52,Aggregate_Expenditure,Arunachal Pradesh,1996-97,891.0
53,Aggregate_Expenditure,Arunachal Pradesh,1997-98,972.0
54,Aggregate_Expenditure,Arunachal Pradesh,1998-99,1004.0
55,Aggregate_Expenditure,Arunachal Pradesh,1999-00,1098.0
56,Aggregate_Expenditure,Arunachal Pradesh,2000-01,1206.0
57,Aggregate_Expenditure,Arunachal Pradesh,2001-02,1381.0
58,Aggregate_Expenditure,Arunachal Pradesh,2002-03,1363.0
59,Aggregate_Expenditure,Arunachal Pradesh,2003-04,2192.0
60,Aggregate_Expenditure,Arunachal Pradesh,2004-05,2085.0
61,Aggregate_Expenditure,Arunachal Pradesh,2005-06,2437.0
62,Aggregate_Expenditure,Arunachal Pradesh,2006-07,2786.0
63,Aggregate_Expenditure,Arunachal Pradesh,2007-08,3068.0
64,Aggregate_Expenditure,Arunachal Pradesh,2008-09,4272.59
65,Aggregate_Expenditure,Arunachal Pradesh,2009-10,5236.62
66,Aggregate_Expenditure,Arunachal Pradesh,2010-11,5579.12
67,Aggregate_Expenditure,Arunachal Pradesh,2011-12,6665.17
68,Aggregate_Expenditure,Arunachal Pradesh,2012-13,6353.56
69,Aggregate_Expenditure,Arunachal Pradesh,2013-14,7781.63
70,Aggregate_Expenditure,Arunachal Pradesh,2014-15,11482.51
71,Aggregate_Expenditure,Arunachal Pradesh,2015-16,12712.91
72,Aggregate_Expenditure,Assam,1980-81,758.0
73,Aggregate_Expenditure,Assam,1981-82,618.0
74,Aggregate_Expenditure,Assam,1982-83,691.0
75,Aggregate_Expenditure,Assam,1983-84,942.0
76,Aggregate_Expenditure,Assam,1984-85,1165.0
77,Aggregate_Expenditure,Assam,1985-86,1207.0
78,Aggregate_Expenditure,Assam,1986-87,1586.0
79,Aggregate_Expenditure,Assam,1987-88,1794.0
80,Aggregate_Expenditure,Assam,1988-89,1855.0
81,Aggregate_Expenditure,Assam,1989-90,2266.0
82,Aggregate_Expenditure,Assam,1990-91,2689.0
83,Aggregate_Expenditure,Assam,1991-92,2763.0
84,Aggregate_Expenditure,Assam,1992-93,3136.0
85,Aggregate_Expenditure,Assam,1993-94,3620.0
86,Aggregate_Expenditure,Assam,1994-95,3998.0
87,Aggregate_Expenditure,Assam,1995-96,4390.0
88,Aggregate_Expenditure,Assam,1996-97,4267.0
89,Aggregate_Expenditure,Assam,1997-98,5022.0
90,Aggregate_Expenditure,Assam,1998-99,5204.0
91,Aggregate_Expenditure,Assam,1999-00,7086.0
92,Aggregate_Expenditure,Assam,2000-01,7631.0
93,Aggregate_Expenditure,Assam,2001-02,8550.0
94,Aggregate_Expenditure,Assam,2002-03,8936.0
95,Aggregate_Expenditure,Assam,2003-04,10596.0
96,Aggregate_Expenditure,Assam,2004-05,14745.0
97,Aggregate_Expenditure,Assam,2005-06,12088.0
98,Aggregate_Expenditure,Assam,2006-07,13485.0
99,Aggregate_Expenditure,Assam,2007-08,15150.0
100,Aggregate_Expenditure,Assam,2008-09,17485.86
101,Aggregate_Expenditure,Assam,2009-10,24968.3
102,Aggregate_Expenditure,Assam,2010-11,25946.97
103,Aggregate_Expenditure,Assam,2011-12,30268.93
104,Aggregate_Expenditure,Assam,2012-13,33747.64
